"infinitive","infinitive_english","mood","mood_english","tense","tense_english","verb_english","form_1s","form_2s","form_3s","form_1p","form_2p","form_3p","gerund","gerund_english","pastparticiple","pastparticiple_english"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Presente","Present","I abandon, am abandoning","abandono","abandonas","abandona","abandonamos","abandonáis","abandonan","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Futuro","Future","I will abandon","abandonaré","abandonarás","abandonará","abandonaremos","abandonaréis","abandonarán","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Imperfecto","Imperfect","I was abandoning, used to abandon, abandoned","abandonaba","abandonabas","abandonaba","abandonábamos","abandonabais","abandonaban","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Pretérito","Preterite","I abandoned","abandoné","abandonaste","abandonó","abandonamos","abandonasteis","abandonaron","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Condicional","Conditional","I would abandon","abandonaría","abandonarías","abandonaría","abandonaríamos","abandonaríais","abandonarían","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Presente perfecto","Present Perfect","I have abandoned","he abandonado","has abandonado","ha abandonado","hemos abandonado","habéis abandonado","han abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Futuro perfecto","Future Perfect","I will have abandoned","habré abandonado","habrás abandonado","habrá abandonado","habremos abandonado","habréis abandonado","habrán abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Pluscuamperfecto","Past Perfect","I had abandoned","había abandonado","habías abandonado","había abandonado","habíamos abandonado","habíais abandonado","habían abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Pretérito anterior","Preterite (Archaic)","I had abandoned","hube abandonado","hubiste abandonado","hubo abandonado","hubimos abandonado","hubisteis abandonado","hubieron abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Condicional perfecto","Conditional Perfect","I would have abandoned","habría abandonado","habrías abandonado","habría abandonado","habríamos abandonado","habríais abandonado","habrían abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Subjuntivo","Subjunctive","Presente","Present","I abandon, am abandoning","abandone","abandones","abandone","abandonemos","abandonéis","abandonen","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Subjuntivo","Subjunctive","Imperfecto","Imperfect","I abandoned, was abandoning","abandonara","abandonaras","abandonara","abandonáramos","abandonarais","abandonaran","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Subjuntivo","Subjunctive","Futuro","Future","I will abandon","abandonare","abandonares","abandonare","abandonáremos","abandonareis","abandonaren","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Subjuntivo","Subjunctive","Presente perfecto","Present Perfect","I have abandoned, abandoned","haya abandonado","hayas abandonado","haya abandonado","hayamos abandonado","hayáis abandonado","hayan abandonado","abandonando","abandoning","abandonado","abandoned"
